acid,SCN3.492579,SCN3code.492579
PI567491A,1,1
PI567516C,1,0
PI540556,1,0.8
PI567325B,1,1.3
PI543855,1,0.4
PI567365,2,2.3
PI567336B,2,2
PI567364,2,2.3
PI567330,2,2.3
PI567336A,2,2
PI567342,2,2.3
PI567568B,2,2
PI567328,2,2.3
PI567382A,2,2.3
PI567285,2,1.7
PI567284,2,2.3
PI567286,2,2
PI567441C,4,3
PI567323B,4,3.3
PI567429B,4,3
PI567649,4,3.3
PI567326B,4,3
PI567566,4,3.3
PI567591,4,3
PI567533,4,3.3
PI567536,4,3
PI567523,4,3.3
PI567594A,4,3.3
PI567441B,4,3.3
PI567660A,4,3
PI567513,4,3.3
PI567633,4,3
PI567540B,4,3
PI567507B,4,2.7
PI567593A,4,3
PI567438,4,3.3
PI567448,4,3.3
PI567528B,4,3
PI567666,4,3.3
PI567508B,4,3.3
PI567527,4,3
PI567331,4,3.3
PI567494,4,3
PI567301B,4,3.3
PI567324,4,3
PI567424B,4,2.7
PI567502,4,3.3
PI567491B,4,3
PI567341,4,3
PI567337,4,2.7
PI567367,4,3
PI567568A,4,3
PI567368,4,3.3
PI567370A,4,3.3
PI567398,4,2.7
PI567571,4,3.3
PI567323A,4,3.3
PI567437,4,3
PI567471,4,3.3
PI567490,4,3
PI567301A,4,3
PI567492,4,3.3
PI567636,4,3
PI567615,4,3.3
PI567548,4,3.3
PI567372A,4,3.3
PI567304,4,3.3
PI567327,4,3.3
PI567366A,4,3
PI567498,4,3.3
PI567669,4,3.3
PI567333A,4,2.7
PI567497,4,3
PI567577,4,2.7
PI567363B,4,2.7
PI567562A,4,3.3
PI567335A,4,3.3
PI567432B,4,3
PI567294,4,3
PI567433A,4,3.3
PI567433B,4,3.3
PI567449,4,3
PI567543B,4,3.3
PI567564,4,3.3
PI567572A,4,3
PI567573B,4,3
PI567593B,4,3.3
PI567620A,4,3.3
PI567604B,4,3.3
PI567290A,4,3
PI567305,4,3
PI567351A,4,3.3
PI567432A,4,3
PI567441A,4,3.3
PI567447B,4,3.3
PI567462,4,3.3
PI567323C,4,3
PI567482C,4,3.3
PI567555,4,3.3
PI567572B,4,3.3
PI567626,4,3.3
PI567631,4,3.3
PI567296A,4,3.3
PI567344A,4,3
PI567580A,4,3
PI567493,4,3.3
PI567447C,4,3
PI567614A,4,3.3
PI567565,4,3.3
PI567623,4,2.7
PI567637,4,3.3
PI567595B,4,3
PI567624,4,3.3
PI567603A,4,3.3
PI567671B,4,3.3
PI567507C,4,3
PI567507D,4,3
PI567473B,4,3.3
PI567480A,4,3.3
PI567429D,4,3.3
PI567480B,4,3.3
PI567531,4,3
PI567671A,4,3.3
PI567645B,4,3.3
PI567590B,4,3
PI567597C,4,3.3
PI567430,4,3.3
PI567508A,4,3.3
PI567371A,4,3.3
PI567429E,4,2.7
PI567583D,4,3
PI567530,4,3.3
PI567604A,4,3
PI567617C,4,3.3
PI567472,4,3.3
PI567335B,4,3.3
PI567388,4,3
PI567411,4,3
PI567382B,4,3.3
PI567378,4,2.7
PI567402,4,3
PI567414,4,3.3
PI567406A,4,3
PI567451,4,3
PI567408,4,3
PI567338,4,3.3
PI567326A,4,2.7
PI567660B,4,3
PI567312,4,3
PI567377B,4,3
PI567379C,4,3.3
PI567409B,4,3.3
PI567298,4,3
PI567303B,4,3
PI567333B,4,2.7
PI567347,4,3.3
PI567355A,4,3.3
PI567415B,4,3.3
PI567370B,4,3.3
PI567396C,4,3.3
