acid,SCN1,
PI054591,5,8
PI070457,4,8
PI079609,5,8
PI079693,2,8
PI081761,4,8
PI084751,1,8
PI087606,4,8
PI088788,5,8
PI089008,4,8
PI089014,4,8
PI089772,1,8
PI090763,1,8
PI091138,4,8
PI092720,5,8
PI200495,2,8
PI209332,4,8
PI261466,5,8
PI261467,5,8
PI303652,1,8
PI398680,4,8
PI398682,5,8
PI399061,4,8
PI404166,1,8
PI407729,2,8
PI407944,5,8
PI416762,2,8
PI417091,2,8
PI417094,4,8
PI417150,4,8
PI423952,4,8
PI424595,4,8
PI437090,5,8
PI437379,5,8
PI437488,4,8
PI437654,1,8
PI437655,1,8
PI437679,2,8
PI437690,1,8
PI437725,1,8
PI437770,4,8
PI437908,5,8
PI438183,4,8
PI438205,4,8
PI438342,4,8
PI438437,4,8
PI438497,1,8
PI438498,1,8
PI458199,5,8
PI458520,4,8
PI461509,4,8
PI464912,5,8
PI464917,4,8
PI467310,5,8
PI467312,4,8
PI467327,4,8
PI467332,4,8
PI468903,2,8
PI468904,5,8
PI468906,5,8
PI468907,5,8
PI468908,5,8
PI468909,5,8
PI468910,5,8
PI468911,5,8
PI468912,5,8
PI468913,4,8
PI468915,1,8
PI468919,4,8
PI475810,4,8
PI483459,4,8
PI490769,4,8
PI494182,1,8
PI506862,5,8
PI507268,4,8
PI507354,1,8
PI507422,1,8
PI507423,2,8
PI507443,2,8
PI507470,1,8
PI507471,2,8
PI507475,1,8
PI507476,2,8
PI509095,2,8
PI509100,1,8
PI518664,5,8
PI518772,5,8
PI522186,5,8
PI522187,4,8
PI522189,4,8
PI522190,5,8
PI522191,5,8
PI525492,5,8
PI532434,4,8
PI532472,4,8
PI538406,4,8
PI538408,4,8
PI548316,4,8
PI548317,2,8
PI548349,2,8
PI548400,5,8
PI548402,1,8
PI548415,4,8
PI548658,5,8
PI548982,1,8
PI548988,1,8
PI567165,5,8
PI567285,5,8
PI567286,5,8
PI567328,5,8
PI567364,5,8
PI567365,5,8
PI567400,5,8
PI567421,5,8
PI567492,5,8
PI567577,5,8
PI567581,5,8
PI567636,5,8
PI567675,5,8
PI567677,4,8
PI567678,5,8
PI567681,4,8
PI567685,4,8
PI567686,5,8
PI567687,5,8
PI567689,5,8
PI567690,4,8
PI567691,4,8
PI567692,4,8
PI567693,4,8
PI567694,5,8
PI567695,4,8
PI567697,4,8
PI567699,4,8
PI567700,5,8
PI567701,5,8
PI567703,4,8
PI567704,4,8
PI567705,4,8
PI567707,5,8
PI567708,5,8
PI567709,5,8
PI567710,5,8
PI567712,5,8
PI567714,5,8
PI567715,5,8
PI567718,5,8
PI567719,5,8
PI567721,5,8
PI567722,5,8
PI567723,5,8
PI567724,5,8
PI567725,5,8
PI567726,4,8
PI567728,5,8
PI567729,5,8
PI567730,5,8
PI567731,5,8
PI567732,5,8
PI567733,5,8
PI567734,4,8
PI567735,4,8
PI567737,5,8
PI567740,5,8
PI567741,1,8
PI567743,5,8
PI567745,5,8
PI567746,5,8
PI567750,4,8
PI567752,5,8
PI567754,5,8
PI567756,5,8
PI567760,5,8
PI567761,4,8
PI567768,5,8
PI567769,5,8
PI567772,4,8
PI567773,5,8
PI567776,5,8
PI567778,5,8
PI567781,5,8
PI587981,5,8
PI605835,5,8
PI605866,5,8
PI605872,5,8
PI605873,4,8
PI606420,1,8
PI606435,1,8
PI612610,1,8
PI612611,1,8
PI612614,1,8
PI612615,1,8
PI612616,1,8
PI103419B,4,9
PI123577B,4,9
PI157487B,4,9
PI159923B,4,9
PI339865A,4,9
PI339868B,1,9
PI404198A,1,9
PI404198B,1,9
PI407386D,4,9
PI424137B,5,9
PI438489B,1,9
PI438496B,2,9
PI438503A,4,9
PI458175B,5,9
PI458519A,4,9
PI464915B,4,9
PI495017C,4,9
PI506590E,4,9
PI506838A,4,9
PI506838B,4,9
PI507686B,5,9
PI507686C,4,9
PI507704A,5,9
PI507704B,4,9
PI512322A,4,9
PI512322D,2,9
PI522188A,4,9
PI522188B,4,9
PI522192A,5,9
PI522192B,5,9
PI532444A,5,9
PI532444B,4,9
PI538401A,5,9
PI538401B,4,9
PI567303A,5,9
PI567336A,5,9
PI567336B,4,9
PI567363B,5,9
PI567373A,5,9
PI567373B,4,9
PI567415A,2,9
PI567418A,5,9
PI567488A,2,9
PI567488B,2,9
PI567488C,4,9
PI567491A,1,9
PI567507B,5,9
PI567510A,5,9
PI567512B,5,9
PI567516C,1,9
PI567535A,5,9
PI567562A,5,9
PI567568A,4,9
PI567583C,4,9
PI567650C,4,9
PI567660B,5,9
PI567676A,2,9
PI567676B,4,9
PI567679A,4,9
PI567679B,2,9
PI567679C,4,9
PI567683A,5,9
PI567684A,4,9
PI567684B,4,9
PI567688A,4,9
PI567688B,5,9
PI567696A,4,9
PI567696B,5,9
PI567696C,4,9
PI567698A,5,9
PI567698B,4,9
PI567702A,5,9
PI567702B,4,9
PI567706A,4,9
PI567706B,5,9
PI567711A,5,9
PI567711B,5,9
PI567713A,5,9
PI567713B,5,9
PI567713C,5,9
PI567713D,5,9
PI567713E,5,9
PI567716A,5,9
PI567716B,5,9
PI567717A,5,9
PI567717B,5,9
PI567717C,5,9
PI567720A,5,9
PI567720B,5,9
PI567727A,5,9
PI567727B,5,9
PI567738A,5,9
PI567738B,5,9
PI567739A,4,9
PI567739B,4,9
PI567742A,5,9
PI567744A,5,9
PI567744B,5,9
PI567749A,5,9
PI567749B,5,9
PI567751A,5,9
PI567751B,5,9
PI567753A,4,9
PI567753B,5,9
PI567753C,5,9
PI567755A,5,9
PI567755B,5,9
PI567762A,4,9
PI567762C,4,9
PI567765A,5,9
PI567765B,5,9
PI567765C,5,9
PI567765D,5,9
PI567767A,5,9
PI567767B,4,9
PI567767C,4,9
PI567770A,4,9
PI567770C,5,9
PI567771A,4,9
PI567771B,5,9
PI567771C,5,9
PI567771D,5,9
PI567771E,4,9
PI567774A,4,9
PI567774B,5,9
PI567775A,5,9
PI567775B,5,9
PI567779A,5,9
PI567779B,5,9
PI567780B,5,9
PI594647A,5,9
PI605780A,5,9
PI605780C,5,9
PI605792D,5,9
PI605799A,5,9
PI605817A,5,9
PI605821A,5,9
PI605821B,5,9
PI605824B,5,9
PI605825A,5,9
PI605825B,5,9
PI605825C,5,9
PI605826A,5,9
PI605826B,5,9
PI605826C,5,9
PI605826D,5,9
PI605827A,5,9
PI605828B,5,9
PI605830A,5,9
PI605831C,5,9
PI605832B,5,9
PI605834A,5,9
PI605834C,5,9
PI605837A,5,9
PI605837B,5,9
PI605837C,5,9
PI605839A,5,9
PI605840B,5,9
PI605840C,5,9
PI605840D,5,9
PI605840E,5,9
PI605840F,5,9
PI605840G,5,9
PI605841A,5,9
PI605842A,5,9
PI605842C,5,9
PI605844D,5,9
PI605844E,4,9
PI605844F,4,9
PI605846C,4,9
PI605846E,5,9
PI605846F,5,9
PI605871A,5,9
PI605876D,5,9
PI605876E,5,9
PI605877D,5,9
PI605882B,5,9
PI605884B,5,9
PI605884C,5,9
PI605884D,5,9
PI605885C,5,9
PI605886B,5,9
PI605886C,5,9
PI605890A,4,9
PI605896B,5,9
PI606382A,5,9
PI606390A,5,9
PI606438A,2,9
PI612612A,1,9
PI612612B,2,9
PI612617A,1,9
PI087631-1,4,10
PI407946-2,4,10
PI408192-2,4,10
