acid,PRR4.492758,
FC019976,1,8
FC031630,1,8
PI054600,1,8
PI054604,5,8
PI058955,1,8
PI059849,1,8
PI062202,1,8
PI064747,1,8
PI068535,5,8
PI070188,5,8
PI070208,5,8
PI080471,1,8
PI080488,1,8
PI080825,1,8
PI080841,5,8
PI081035,1,8
PI081777,5,8
PI082232,1,8
PI082235,5,8
PI082291,1,8
PI082295,5,8
PI082302,1,8
PI082325,1,8
PI082527,1,8
PI082534,5,8
PI082544,5,8
PI083853,5,8
PI083892,1,8
PI084509,5,8
PI084619,1,8
PI084637,1,8
PI084646,5,8
PI084939,5,8
PI084959,1,8
PI085437,5,8
PI085469,1,8
PI085505,5,8
PI085624,1,8
PI085626,1,8
PI086022,1,8
PI086050,1,8
PI086063,1,8
PI086103,1,8
PI086116,1,8
PI086122,1,8
PI086150,1,8
PI086410,1,8
PI086425,1,8
PI086452,1,8
PI086740,1,8
PI086876,1,8
PI087005,1,8
PI087047,1,8
PI087074,1,8
PI087561,1,8
PI087571,1,8
PI087617,1,8
PI087619,1,8
PI087629,1,8
PI087630,1,8
PI088444,1,8
PI088811,1,8
PI088815,1,8
PI088816,1,8
PI088826,1,8
PI089150,1,8
PI089769,1,8
PI090138,5,8
PI090208,1,8
PI090233,1,8
PI090241,1,8
PI090249,1,8
PI090305,1,8
PI091162,1,8
PI091165,1,8
PI091178,1,8
PI091340,1,8
PI091679,5,8
PI092465,1,8
PI092639,5,8
PI092651,1,8
PI095769,5,8
PI096093,1,8
PI096783,1,8
PI096808,1,8
PI096978,1,8
PI097225,1,8
PI103088,5,8
PI103091,1,8
PI131531,1,8
PI153244,1,8
PI153250,1,8
PI153253,1,8
PI153264,1,8
PI153282,1,8
PI153283,1,8
PI153288,1,8
PI153308,1,8
PI157398,1,8
PI157401,1,8
PI157402,1,8
PI157404,5,8
PI157409,1,8
PI157410,5,8
PI157417,5,8
PI157431,1,8
PI157449,1,8
PI157459,1,8
PI157462,5,8
PI157472,1,8
PI157485,5,8
PI157492,1,8
PI171450,1,8
PI172901,1,8
PI181532,1,8
PI181536,1,8
PI181539,1,8
PI181549,1,8
PI181551,1,8
PI181553,1,8
PI181554,1,8
PI189946,1,8
PI189947,1,8
PI189966,1,8
PI196150,1,8
PI196152,5,8
PI196155,1,8
PI196156,1,8
PI196157,1,8
PI196159,1,8
PI196160,1,8
PI200457,1,8
PI200478,1,8
PI200496,1,8
PI200499,1,8
PI200508,1,8
PI200517,1,8
PI200518,1,8
PI200522,1,8
PI200541,1,8
PI200545,1,8
PI205088,1,8
PI219783,1,8
PI224271,1,8
PI224272,1,8
PI226591,1,8
PI227558,1,8
PI227685,1,8
PI229327,1,8
PI229342,1,8
PI229343,1,8
PI229349,1,8
PI229351,1,8
PI229352,1,8
PI229353,1,8
PI229359,1,8
PI229360,1,8
PI229361,1,8
PI229362,1,8
PI243514,1,8
PI243520,1,8
PI243522,1,8
PI243523,1,8
PI243524,1,8
PI243525,1,8
PI243529,1,8
PI243530,1,8
PI243531,1,8
PI243532,5,8
PI243533,5,8
PI243535,1,8
PI243544,1,8
PI243545,1,8
PI243548,5,8
PI243549,1,8
PI246366,1,8
PI246367,5,8
PI246369,1,8
PI248410,1,8
PI253654,5,8
PI261467,1,8
PI261468,1,8
PI261472,1,8
PI262181,1,8
PI548342,5,8
PI548359,1,8
PI548391,5,8
PI548408,1,8
PI548419,1,8
PI548438,5,8
PI548504,1,8
PI559370,5,8
FC004002N,1,9
PI082312N,1,9
PI089061N,1,9
PI094159B,1,9
PI253651B,5,9
PI253652B,1,9
PI253656B,1,9
PI266807D,1,9
FC019976-2,1,10
FC019979-2,1,10
PI054606-1,1,10
PI054615-1,5,10
PI055089-1,1,10
PI068465-1,1,10
PI079870-2,1,10
PI080466-2,1,10
PI080498-1,1,10
PI080828-1,1,10
PI080828-2,1,10
PI080847-1,1,10
PI081031-2,5,10
PI081037-5,1,10
PI082263-2,1,10
PI084946-1,1,10
PI084957-1,1,10
PI086134-4,1,10
PI086878-2,1,10
PI086972-1,1,10
PI088466-1,5,10
PI090576-1,1,10
PI091132-3,1,10
PI091732-2,5,10
PI092601-5,1,10
PI092718-2,1,10
